;物品类别	物品名称	Item.wil序号	出售价格	Deco.wil序号1	Deco.wil序号2	描述	货币类型	绑定状态
0	反璞归真	1013	300000	0	0	美容美发	0	0
0	个性发型	1013	300000	0	0	美容美发	0	0
1	比奇传送石	999	500000	0	0	出行必备	0	0
1	回城卷	402	500	0	0	出行必备	0	0
1	盟重传送石	1010	500000	0	0	出行必备	0	0
1	随机传送石	1025	500000	0	0	出行必备	0	0
1	修复神水	120	100000	0	0	出行必备	0	0
2	双倍宝典(大)	989	300000	0	0	升级必备	0	0
2	双倍宝典(小)	989	300000	0	0	升级必备	0	0
2	双倍宝典(中)	989	300000	0	0	升级必备	0	0
2	双倍卷轴	989	300000	0	0	升级必备	0	0
3	飞火流星	1016	300000	0	0	美丽焰火	0	0
3	飞火流星包	1015	300000	0	0	美丽焰火	0	0
3	浪漫星雨	1016	300000	0	0	美丽焰火	0	0
3	浪漫星雨包	1015	300000	0	0	美丽焰火	0	0
3	绮梦幻想	1016	300000	0	0	美丽焰火	0	0
3	绮梦幻想包	1015	300000	0	0	美丽焰火	0	0
3	如雾似梦	1016	300000	0	0	美丽焰火	0	0
3	如雾似梦包	1015	300000	0	0	美丽焰火	0	0
3	心心相印	1016	300000	0	0	美丽焰火	0	0
3	心心相印包	1015	300000	0	0	美丽焰火	0	0
3	一心一意	1016	300000	0	0	美丽焰火	0	0
3	一心一意包	1015	300000	0	0	美丽焰火	0	0
3	长空火舞	1016	300000	0	0	美丽焰火	0	0
3	长空火舞包	1015	300000	0	0	美丽焰火	0	0
4	幻境凭证	266	100000	0	0	闯关必备	0	0
4	沃玛号角	261	100000	0	0	行会创建	0	0
4	祖玛头像	271	100000	0	0	行会创建	0	0
